Fecha;Carrera;Ciudad;Provincia;Tipo;Distancia;Web;Infantil
2019-01-01 00:00:00;Subida a Costiña de Canedo;Eiras Vedras;Ourense;Running;4 Km;https://deportes.depourense.es/;True
2019-01-04 00:00:00;"Legua de Navidad ""Las 4 Torres"" Paredes de Nava";Paredes de Nava;Palencia;Running;5,100 m;https://villadeparedes.blogspot.com.es/;False
2019-01-05 00:00:00;Carrera Popular de Zarandona;Zarandona;Murcia;Running;7,200 m;http://www.asuspuestos.com/;False
2019-01-05 00:00:00;Cursa Reis;Sant Julià de Cerdanyola;Barcelona;Running;5 Km;https://www.facebook.com/cursareis/;False
2019-01-05 00:00:00;Cursa Infantil de Reis;Palma de Mallorca;Illes Balears;Running;0,800 m;http://elitechip.net/;False
2019-01-05 00:00:00;La Cordera Reis Race 6km;Anglesola;Lleida;Running;6 Km;https://runedia.mundodeportivo.com/calendario-carreras/espana/cataluna/lerida/;False
2019-01-05 00:00:00;La Cordera Reis Race 3km;Anglesola;Lleida;Running;3 Km;https://runedia.mundodeportivo.com/calendario-carreras/espana/cataluna/lerida/;False
2019-01-05 00:00:00;La Cavalgada de Reyes -Cursa Solidària 5K de Cornellà;Cornellà de Llobregat;Barcelona;Running;5 Km;http://www.championchip.cat/web/;True
2019-01-05 00:00:00;Carrera Solidaria de Reyes 10k. KmsdeFelicidad By Euromaster;Madrid;Madrid;Running;10 Km;http://www.carreradereyes.com/;True
2019-01-05 00:00:00;Carrera Solidaria de Reyes 5k. KmsdeFelicidad By Euromaster;Madrid;Madrid;Running;5 Km;http://www.carreradereyes.com/;True
2019-01-05 00:00:00;Carrera de Reyes de Yuncler;Yuncler;Toledo;Running;8 Km;http://www.evedeport.es/;False
2019-01-05 00:00:00;Carrera Solidaria por el Niño 10k;San Javier;Murcia;Running;10 Km;http://www.lineadesalida.net/;False
2019-01-05 00:00:00;Carrera Solidaria de Reyes;Melgar de Fernamental;Burgos;Running;5 Km;http://www.melgardefernamental.es/;True
2019-01-05 00:00:00;Carrera Solidaria por el Niño 5k;San Javier;Murcia;Running;5 Km;http://www.lineadesalida.net/;False
2019-01-05 00:00:00;La Primera del Año;Orellana la Vieja;Badajoz;Running;5 Km;http://orellanarunners.blogspot.com.es/;False
2019-01-06 00:00:00;Carrera De Reyes El Campello;El Campello;Alicante;Running;6 Km;http://www.grupobrotons.es/;False
2019-01-06 00:00:00;Cross Popular de Reyes Tordesillas;Tordesillas;Valladolid;Cross;9,200 m;http://runvasport.es/;True
2019-01-06 00:00:00;Cross Internacional Zornotza;Amorebieta;Bizkaia;Cross;9,500 m;http://www.cdzornotza.eus/;False
2019-01-06 00:00:00;Volta a Peu a Xeraco 15k;Xeraco;Valencia;Running;15 Km;https://www.facebook.com/clubcorrerxeraco/;False
2019-01-06 00:00:00;Carrera -Caminata De Reyes El Campello;El Campello;Alicante;Running;3 Km;http://www.grupobrotons.es/;False
2019-01-06 00:00:00;Cross de Reyes Los Lirios;Logroño;La Rioja;Cross;11 Km;http://circuito.logronodeporte.es/;True
2019-01-06 00:00:00;Volta a Peu a Xeraco 7k;Xeraco;Valencia;Running;7 Km;https://www.facebook.com/clubcorrerxeraco/;False
2019-01-06 00:00:00;Carreira Popular Benéfica de Reis;Barreiros;Lugo;Running;12 Km;http://carreiraPopulardereis.jimdo.com/;False
2019-01-06 00:00:00;Cross de Reyes,Memorial Mosén Francisco;Zaragoza;Zaragoza;Cross;4,400 m;http://www.zaragozadeporte.com/;False
2019-01-06 00:00:00;Cross de Reyes ProSáhara;Puente La Reina;Navarra;Cross;5 Km;http://www.puentelareina-gares.es/inicio/;False
2019-01-06 00:00:00;Maratón del Pavo Espera;Espera;Cádiz;Running;11 Km;http://www.webespera.es/;False
2019-01-06 00:00:00;Marxa Popular de Reis;Massanes - La Selva;Girona;Running;12 Km;http://www.selva.cat/esports/;True
2019-01-06 00:00:00;Cross de Reyes de Peralta;Peralta;Navarra;Cross;5 Km;http://www.peraltatletico.com/;False
2019-01-06 00:00:00;Volta a Peu a Xeraco Gran Fons Manolo Pardo 7k;Xeraco;Valencia;Running;7 Km;https://www.facebook.com/clubcorrerxeraco/;True
2019-01-06 00:00:00;Carrera Solidaria Paseo por el Patrimonio Ilurquense;Íllora;Granada;Running;6 Km;http://www.cruzandolameta.es/;False
2019-01-06 00:00:00;Carrera del Roscón;Paradinas de San Juan;Salamanca;Running;10 Km;https://www.facebook.com/CarreraRoscon;True
2019-01-06 00:00:00;Mitja Marató S´Alqueria Blanca;Alqueria Blanca;Illes Balears;Running;21,097 m;http://elitechip.net/;False
2019-01-06 00:00:00;Quart de Marató S´Alqueria Blanca;Alqueria Blanca;Illes Balears;Running;10,548 m;http://elitechip.net/;False
2019-01-06 00:00:00;San Silvestre Villenera;Villena;Alicante;Running;5,500 m;http://promesasvillena.es/;False
2019-01-06 00:00:00;Carrera Popular de Reyes San Fulgencio;San Fulgencio;Alicante;Running;5 Km;http://www.chiplevante.com/chiplevante.asp;False
2019-01-06 00:00:00;The Magi Run 11k;Caraquiz;Guadalajara;Running;11 Km;https://arelgosports.com/;True
2019-01-06 00:00:00;Reis Race a Igualada 10K;Igualada;Barcelona;Running;10 Km;http://www.reisrace.cat/;True
2019-01-06 00:00:00;The Magi Run 6k;Caraquiz;Guadalajara;Running;6 Km;https://arelgosports.com/;True
2019-01-06 00:00:00;Reis Race a Igualada 5K;Igualada;Barcelona;Running;5 Km;http://www.reisrace.cat/;True
2019-01-06 00:00:00;Carrera del Roscón Polop de la Marina;Polop de la Marina;Alicante;Running;7 Km;https://www.mychip.es/;False
